craftId,product,label,inScope,drawing,drawingStatus,flags,approved,unreviewed,rejected,refs,externals
"shirt|collar|lapel|collar-long-point-85","shirt","Long Point 8.5 cm",yes,"/images/collar/collar-long-point-85-1782961987319.png","drawing-unverified","DRAWING_UNCONFIRMED",1,12,0,0,0
"shirt|collar|lapel|collar-fashion-point-58","shirt","Fashion Point 5.8 cm",yes,"/images/techpacks/shirt/lapel/fashion-point-in-58cm.jpg","drawing-unverified","DRAWING_UNCONFIRMED",1,7,0,0,0
"shirt|collar|lapel|collar-regular-22","shirt","Regular Collar 22",yes,"/images/techpacks/shirt/lapel/regular-collar-22.jpg","drawing-unverified","DRAWING_UNCONFIRMED",1,6,0,0,0
"shirt|collar|lapel|collar-point-58-btn","shirt","Point 5.8 cm with Button",yes,"/images/techpacks/shirt/lapel/point-in-58cm-with-button.jpg","drawing-unverified","DRAWING_UNCONFIRMED",1,7,0,0,0
"shirt|collar|lapel|collar-point-70","shirt","Point 7.0 cm",yes,"/images/techpacks/shirt/lapel/point-in-7cm.jpg","drawing-unverified","DRAWING_UNCONFIRMED",1,17,0,0,0
"shirt|collar|lapel|collar-point-70-btn","shirt","Point 7.0 cm with Button",yes,"/images/techpacks/shirt/lapel/point-in-7cm-with-button.jpg","drawing-unverified","DRAWING_UNCONFIRMED",1,5,0,0,0
"shirt|collar|lapel|collar-point-70-hidden-btn","shirt","Point 7.0 cm Hidden Button",yes,"/images/techpacks/shirt/lapel/point-in-7cm-with-hidden-button.jpg","drawing-unverified","DRAWING_UNCONFIRMED",1,7,0,0,0
"shirt|collar|lapel|collar-curve-point-75","shirt","Curve Point 7.5 cm",yes,"/images/techpacks/shirt/lapel/curve-point-collar-in-75cm.jpg","drawing-unverified","DRAWING_UNCONFIRMED|HAS_OWNER_REFS",0,7,1,1,0
"shirt|collar|lapel|collar-point-95-btn","shirt","Point 9.5 cm with Button",yes,"/images/techpacks/shirt/lapel/point-in-95cm-with-button.jpg","drawing-unverified","DRAWING_UNCONFIRMED",1,4,0,1,0
"shirt|collar|lapel|collar-regular-85-tab","shirt","Regular 8.5 cm with Tab",yes,"/images/techpacks/shirt/lapel/regular-collar-in-85cm-with-tab.jpg","drawing-unverified","DRAWING_UNCONFIRMED",0,2,0,0,0
"shirt|collar|lapel|collar-point-58-zigzag","shirt","Point 5.8 cm Zigzag Stitching",yes,"/images/techpacks/shirt/lapel/point-in-58cm-with-zigzag-stitching.jpg","drawing-unverified","DRAWING_UNCONFIRMED",1,5,0,0,0
"shirt|collar|lapel|collar-round-point-70","shirt","Round Point 7.0 cm",yes,"","missing","DRAWING_IS_PHOTO|NO_DRAWING",1,7,0,0,0
"shirt|collar|lapel|collar-round-point-70-holes","shirt","Round Point 7.0 cm (Small Holes)",yes,"/images/techpacks/shirt/lapel/round-point-collar-in-7cm-with-small-holes.jpg","drawing-unverified","DRAWING_UNCONFIRMED",1,5,0,4,0
"shirt|collar|lapel|collar-point-75-holes","shirt","Point 7.5 cm (Small Holes)",yes,"/images/techpacks/shirt/lapel/point-collar-in-75cm-with-small-holes.jpg","drawing-unverified","DRAWING_UNCONFIRMED",1,5,0,4,0
"shirt|collar|lapel|collar-point-75-tri","shirt","Point 7.5 cm Triangular Patch",yes,"/images/techpacks/shirt/lapel/75cm-pointed-collar-with-triangular-patch.jpg","drawing-unverified","DRAWING_UNCONFIRMED",0,2,0,0,0
"shirt|collar|lapel|collar-hidden-btn-75","shirt","Hidden Button 7.5 cm",yes,"/images/techpacks/shirt/lapel/hidden-button-collar-in-75cm.jpg","drawing-unverified","DRAWING_UNCONFIRMED",0,6,1,0,0
"shirt|collar|lapel|collar-wrap-75","shirt","Wrap Collar 7.5 cm",yes,"/images/techpacks/shirt/lapel/wrap-collar-in-75cm.jpg","drawing-unverified","DRAWING_UNCONFIRMED|HAS_OWNER_REFS",0,6,1,4,0
"shirt|collar|lapel|collar-small-sq-50-btn","shirt","Small Square 5.0 cm with Button",yes,"/images/techpacks/shirt/lapel/small-square-in-5cm-with-button.jpg","verified-match","",0,3,0,0,0
"shirt|collar|lapel|collar-small-sq-50","shirt","Small Square 5.0 cm",yes,"/images/techpacks/shirt/lapel/small-square-in-5cm.jpg","drawing-unverified","DRAWING_UNCONFIRMED",1,13,0,1,0
"shirt|collar|lapel|collar-small-sq-50-zigzag","shirt","Small Square 5.0 cm Zigzag",yes,"","missing","DRAWING_IS_PHOTO|NO_DRAWING",0,3,0,0,0
"shirt|collar|lapel|collar-sq-65","shirt","Square 6.5 cm",yes,"/images/techpacks/shirt/lapel/square-in-65cm.jpg","drawing-unverified","DRAWING_UNCONFIRMED",1,9,0,0,0
"shirt|collar|lapel|collar-sq-65-btn","shirt","Square 6.5 cm with Button",yes,"/images/techpacks/shirt/lapel/square-in-65cm-with-button.jpg","drawing-unverified","DRAWING_UNCONFIRMED",1,6,0,0,0
"shirt|collar|lapel|collar-regular-20","shirt","Regular Collar 20",yes,"/images/techpacks/shirt/lapel/regular-collar-20.jpg","drawing-unverified","DRAWING_UNCONFIRMED",1,7,0,1,0
"shirt|collar|lapel|collar-af1-70","shirt","AF-1 7.0 cm",yes,"/images/techpacks/shirt/lapel/af-1-7cm.jpg","drawing-unverified","DRAWING_UNCONFIRMED",0,3,0,0,0
"shirt|collar|lapel|collar-hexagon","shirt","Hexagon Collar",yes,"/images/techpacks/shirt/lapel/hexagon-collar.jpg","verified-match","",1,8,0,0,0
