tier,wave,name,country,segment,garment_arm,price_band,super_range,swatch_program,moq,cut_lengths,ships_us,contact_person,contact_email,contact_phone,contact_url,evidence,status,date_sent,channel,replied,reply_date,terms_quoted,swatches_received,next_action,owner_notes
"A","1","Acorn Fabrics","UK","shirting","false","GBP 9.99-18.99/m","","Free trade range cards on request; no minimum; sells trade + retail","None","2-3 m shirt cuts","true","","sales@acornfabrics.co.uk","01282 698662","","VERIFIED","not_contacted","","","","","","","",""
"A","1","B. Black & Sons","USA (LA)","suiting","false","~$32.50/yd wool reference","mixed","Ad hoc by phone (not published)","None - no trade gate","true","true","","info@bblackandsons.com","800-433-1546","","VERIFIED","not_contacted","","","","","","","",""
"A","1","Bateman Ogden","UK","suiting","false","Login-gated","mixed","Trade signup incl. 'Individual - instant activation' and 'CMT House' account types","","likely","true","","","","batemanogden.co.uk/CreateAccount","VERIFIED","not_contacted","","","","","","","",""
"A","2","Digjam Limited","India (Jamnagar)","suiting","false","Not published - quote required","Premium worsted; exact Super range not published - confirm","Not published - ask","Not published","unknown","true","","","","digjam.co.in","LIKELY","not_contacted","","","","","","","",""
"A","1","Dugdale Bros & Co","UK","suiting","false","~GBP 40-70/m retail references","Super 100s-150s ranges","Open 'Request a Bunch' form (tailors/designers) + full online cut-length portal","None stated","true","true","Zach Jobe (US, Brooklyn)","zach.jobe@dugdalebros.com","","","VERIFIED","not_contacted","","","","","","","",""
"A","1","Huddersfield Fine Worsteds / Hardy Minnis (Fresco)","UK","suiting","false","Trade-only","Super 100s-170s","Public may request pattern swatches; 'Bunch Status' tracker","","via Gladson NJ stock","true","US: HMS/Gladson - Bob McAuley","info@hfwltd.com","212-581-9750","","VERIFIED","not_contacted","","","","","","","",""
"A","2","Jiexiang Textile","China","shirting","false","Quote-based","","Not published - ask","Not published","unknown","true","","","","jiexiangtextile.com","VERIFIED","not_contacted","","","","","","","",""
"A","1","M.J. Cahn","USA (NYC)","suiting","false","Not published","mixed","Documented 'Request Samples' program","","24-h dispatch","true","Steven Cahn","Woolens@gmail.com","212-563-7292","","VERIFIED","not_contacted","","","","","","","",""
"A","1","Metro Textiles","USA (NYC)","suiting","false","$29.50-75.50/yd wool (50% discount codes common)","mixed, incl. high Supers","Not published","None","true","true","","","(212) 209-0004","","VERIFIED","not_contacted","","","","","","","",""
"A","2","OCM Private Limited","India (Amritsar)","suiting","true","Not published - quote required","Super 100s - Super 140s (all-wool and wool blends)","Not published - ask","Not published","unknown","true","","harjot.singh@ocm.in","+91 183 282 0600","ocm.in","LIKELY","not_contacted","","","","","","","",""
"A","2","Shandong Nanshan Fashion Sci-Tech","China (Longkou, Yantai)","suiting","true","Not published - quote required","Wool 20-150 count; blends 40-180 count; Super 120s tropical stated","Not published - ask","Piece-goods scale","unlikely","true","Offices in New York, Los Angeles, Milan, Tokyo, Seoul, Hong Kong, Shanghai","","","en.nanshan.com.cn","LIKELY","not_contacted","","","","","","","",""
"A","2","Shaoxing Surui Textile Co., Ltd","China (Shaoxing)","suiting","false","$9.50-13.50/m at 3 m MOQ; $13.00-16.50/m at 1 m MOQ (published)","Worsted wool / wool-poly blends","Not published - ask","1-3 m (published)","true","true","","","","suruitex.en.alibaba.com","VERIFIED","not_contacted","","","","","","","",""
"A","2","Shaoxing Yun Ai Textile Co., Ltd","China (Shaoxing)","suiting","false","Quote-based; in-stock suiting programs","Publishes Super 100s, 120s and Super 130 wool fabric ranges","Not published - ask","Low - stock-supported","likely","true","","admin@yunaitextile.com","0086-13656855796","iyunaitextile.com / yunai-textile.com","VERIFIED","not_contacted","","","","","","","",""
"A","1","Standeven","UK","suiting","false","Wholesale, login-gated","Super 100s-150s ranges","Free trade account, ~48 h approval, NO minimums, swatches + bunches to trade on request - small tailors explicitly welcome","None","true","true","","sales@standevenfabrics.co.uk","","","VERIFIED","not_contacted","","","","","","","",""
"A","1","Tessitura Monti / Canclini 1925","Italy","shirting","false","~$20-40/yd via resellers","","Not published; US MTM shops hold libraries","","via canclini.store","true","","info@canclini.it","+39 031 3527511","","LIKELY","not_contacted","","","","","","","",""
"A","2","Vardhman Textiles","India (Ludhiana)","shirting","true","Not published - quote required","","Not published - ask","Piece-goods scale - confirm","unlikely","true","","","","fabric.vardhman.com","LIKELY","not_contacted","","","","","","","",""
"A","1","Vitale Barberis Canonico","Italy","suiting","false","~$70/m retail references","Super 110s-150s core, incl. tropical","Trade 'Professional Space' platform (registration-gated)","","own e-shop","true","","","","vitalebarberiscanonico.shop","VERIFIED","not_contacted","","","","","","","",""
"A","2","Yunsa Yunlu Sanayi ve Ticaret A.S.","Turkey (Istanbul / Cerkezkoy)","suiting","false","Not published - quote required","Upper-segment worsted - confirm Super range","Not published - ask sales directly","Not published","unknown","true","","pazarlama@yunsa.com","+90 (212) 365 65 00","yunsa.com/en","VERIFIED","not_contacted","","","","","","","",""
"B","1","Albini Group (Thomas Mason / David & John Anderson)","Italy","shirting","false","Thomas Mason mid-premium; DJA >$100/yd","n/a (shirting counts to 330s)","Trade platform bespoke.albinigroup.com + Fabric Butler app","","cut lengths for MTM makers","true","","","","","LIKELY","not_contacted","","","","","","","",""
"B","2","Altinyildiz Tekstil ve Konfeksiyon A.S.","Turkey (Cerkezkoy, Tekirdag)","suiting","true","Not published - quote required","Not published - confirm","Not published - ask","Not published","unknown","true","","mail@altinyildiz.com.tr / info@altinyildiz.com.tr","","altinyildiz.com.tr","VERIFIED","not_contacted","","","","","","","",""
